eu_id,date2,exp_year,dm_type,dm_gm2
31606,2018-11-15,y1_fall,volunteer,233.55
31606,2019-11-13,y2_fall,grass_cl,NA
31606,2019-11-13,y2_fall,weeds,71
31606,2019-11-13,y2_fall,radish,NA
31606,2019-11-13,y2_fall,volunteer,NA
31801,2018-11-15,y1_fall,grass_cl,NA
31801,2018-11-15,y1_fall,weeds,0.09
31801,2018-11-15,y1_fall,radish,123.87
31801,2018-11-15,y1_fall,volunteer,40.99
31801,2019-11-13,y2_fall,grass_cl,NA
31801,2019-11-13,y2_fall,weeds,37.23
31801,2019-11-13,y2_fall,radish,86.78
31801,2019-11-13,y2_fall,volunteer,NA
31802,2018-11-15,y1_fall,grass_cl,22.79
31802,2018-11-15,y1_fall,weeds,0.81
31802,2018-11-15,y1_fall,radish,NA
31802,2018-11-15,y1_fall,volunteer,120.24
31802,2019-11-13,y2_fall,grass_cl,77.99
31802,2019-11-13,y2_fall,weeds,4.7
31802,2019-11-13,y2_fall,radish,NA
31802,2019-11-13,y2_fall,volunteer,NA
31803,2018-11-15,y1_fall,grass_cl,NA
31803,2018-11-15,y1_fall,weeds,0.11
31803,2018-11-15,y1_fall,radish,NA
31803,2018-11-15,y1_fall,volunteer,162.9
31803,2019-11-13,y2_fall,grass_cl,NA
31803,2019-11-13,y2_fall,weeds,49.99
31803,2019-11-13,y2_fall,radish,NA
31803,2019-11-13,y2_fall,volunteer,NA
31805,2018-11-15,y1_fall,grass_cl,0.75
31805,2018-11-15,y1_fall,weeds,4.2
31805,2018-11-15,y1_fall,radish,NA
31805,2018-11-15,y1_fall,volunteer,97.04
31805,2019-11-13,y2_fall,grass_cl,11.85
31805,2019-11-13,y2_fall,weeds,96.46
31805,2019-11-13,y2_fall,radish,NA
31805,2019-11-13,y2_fall,volunteer,NA
31806,2018-11-15,y1_fall,grass_cl,NA
31806,2018-11-15,y1_fall,weeds,0.05
31806,2018-11-15,y1_fall,radish,63.36
31806,2018-11-15,y1_fall,volunteer,35.8
31806,2019-11-13,y2_fall,grass_cl,NA
31806,2019-11-13,y2_fall,weeds,36.81
31806,2019-11-13,y2_fall,radish,16.01
31806,2019-11-13,y2_fall,volunteer,NA
31901,2018-11-15,y1_fall,grass_cl,NA
31901,2018-11-15,y1_fall,weeds,0
31901,2018-11-15,y1_fall,radish,203.02
31901,2018-11-15,y1_fall,volunteer,40.96
31901,2019-11-13,y2_fall,grass_cl,NA
31901,2019-11-13,y2_fall,weeds,25.39
31901,2019-11-13,y2_fall,radish,171.37
31901,2019-11-13,y2_fall,volunteer,NA
31902,2018-11-15,y1_fall,grass_cl,5.41
31902,2018-11-15,y1_fall,weeds,6.29
31902,2018-11-15,y1_fall,radish,NA
31902,2018-11-15,y1_fall,volunteer,133.53
31902,2019-11-13,y2_fall,grass_cl,70
31902,2019-11-13,y2_fall,weeds,54.48
31902,2019-11-13,y2_fall,radish,NA
31902,2019-11-13,y2_fall,volunteer,NA
31903,2018-11-15,y1_fall,grass_cl,NA
31903,2018-11-15,y1_fall,weeds,4.24
31903,2018-11-15,y1_fall,radish,NA
31903,2018-11-15,y1_fall,volunteer,160.29
31903,2019-11-13,y2_fall,grass_cl,NA
31903,2019-11-13,y2_fall,weeds,89.53
31903,2019-11-13,y2_fall,radish,NA
31903,2019-11-13,y2_fall,volunteer,NA
31905,2018-11-15,y1_fall,grass_cl,5.3
31905,2018-11-15,y1_fall,weeds,5.2
31905,2018-11-15,y1_fall,radish,NA
31905,2018-11-15,y1_fall,volunteer,132.74
31905,2019-11-13,y2_fall,grass_cl,12.93
31905,2019-11-13,y2_fall,weeds,122.6
31905,2019-11-13,y2_fall,radish,NA
31905,2019-11-13,y2_fall,volunteer,NA
31906,2018-11-15,y1_fall,grass_cl,NA
31906,2018-11-15,y1_fall,weeds,1.3
31906,2018-11-15,y1_fall,radish,51.81
31906,2018-11-15,y1_fall,volunteer,147.66
31906,2019-11-13,y2_fall,grass_cl,NA
31906,2019-11-13,y2_fall,weeds,42.26
31906,2019-11-13,y2_fall,radish,59.06
31906,2019-11-13,y2_fall,volunteer,NA
32001,2018-11-15,y1_fall,grass_cl,NA
32001,2018-11-15,y1_fall,weeds,0
32001,2018-11-15,y1_fall,radish,369.15
32001,2018-11-15,y1_fall,volunteer,28.32
32001,2019-11-13,y2_fall,grass_cl,NA
32001,2019-11-13,y2_fall,weeds,24.75
32001,2019-11-13,y2_fall,radish,156.26
32001,2019-11-13,y2_fall,volunteer,NA
32002,2018-11-15,y1_fall,grass_cl,4.2
32002,2018-11-15,y1_fall,weeds,62.42
32002,2018-11-15,y1_fall,radish,NA
32002,2018-11-15,y1_fall,volunteer,40.16
32002,2019-11-13,y2_fall,grass_cl,108.1
32002,2019-11-13,y2_fall,weeds,29.06
32002,2019-11-13,y2_fall,radish,NA
32002,2019-11-13,y2_fall,volunteer,NA
32003,2018-11-15,y1_fall,grass_cl,NA
32003,2018-11-15,y1_fall,weeds,2.59
32003,2018-11-15,y1_fall,radish,NA
32003,2018-11-15,y1_fall,volunteer,248.75
32003,2019-11-13,y2_fall,grass_cl,NA
32003,2019-11-13,y2_fall,weeds,75.04
32003,2019-11-13,y2_fall,radish,NA
32003,2019-11-13,y2_fall,volunteer,NA
32005,2018-11-15,y1_fall,grass_cl,0.42
32005,2018-11-15,y1_fall,weeds,27.21
32005,2018-11-15,y1_fall,radish,NA
32005,2018-11-15,y1_fall,volunteer,282.96
32005,2019-11-13,y2_fall,grass_cl,29.16
32005,2019-11-13,y2_fall,weeds,96.87
32005,2019-11-13,y2_fall,radish,NA
32005,2019-11-13,y2_fall,volunteer,NA
32006,2018-11-15,y1_fall,grass_cl,NA
32006,2018-11-15,y1_fall,weeds,30.88
